isin,proper_name,ticker_region,sector,p_date,one_day_pct,SMB,HML,OSEAX,OBX,RF
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-05-31,-1.04384,0.022401,-0.001725,-0.014028,-0.017227,8.72e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-01,0,-0.014938,-0.009278,0.002072,0.002554,8.64e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-02,2.74261,-0.001689,-0.012138,0.007313,0.007134,8.6e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-03,1.84804,-0.005817,0.022861,0.019903,0.022894,9e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-04,-2.82258,0.009175,-0.018591,-0.014777,-0.019321,8.88e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-07,2.6971,8.6e-5,-0.007239,-0.009891,-0.01015,8.64e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-08,-2.42425,-0.007455,-0.005305,-0.011122,-0.014235,8.64e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-09,2.27743,-0.002312,0.005298,0.022342,0.025812,8.88e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-10,0,-0.001126,0.006338,0.01125,0.012849,9.04e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-11,0,0.001096,-0.002757,0.004283,0.005224,9.28e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-14,2.22672,-0.011521,0.011306,0.02218,0.028426,9.36e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-15,-0.990105,-0.006845,0.008974,0.002637,0.002406,9.28e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-16,-0.999993,0.001395,-0.004862,-0.009039,-0.009542,9.24e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-17,-1.0101,0.003538,0.007106,-0.001279,-0.001969,9.32e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-18,0.204086,-0.003019,-2.75e-4,0.001885,0.001821,9.16e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-21,-1.42565,0.00706,-0.010508,0.017268,0.021118,9.2e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-22,0.206614,0.008487,0.005078,-0.014083,-0.015281,9.08e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-23,-2.26804,0.013092,-0.009445,-0.012961,-0.015066,9.24e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-24,-0.843888,0.007746,-0.014248,-0.018759,-0.020742,9.24e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-25,-3.82979,0.00661,-0.012186,-0.020508,-0.023681,9e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-28,0.66371,-0.016103,7.83e-4,0.006134,0.006432,9.56e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-29,0.659335,-0.008116,-0.028137,-0.048422,-0.052397,9.68e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-06-30,0.655019,-0.016416,-0.00668,0.003601,0.004664,9.4e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-01,-4.3384,-0.008961,0.00177,-0.030179,-0.028554,9.16e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-02,2.04083,0.012212,-0.002754,0.023339,0.027228,9.56e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-05,1.55556,0.019634,0.010499,-0.007948,-0.009638,9.48e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-06,-1.31292,-0.012997,-0.020682,0.036466,0.039504,9.36e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-07,0.886917,-0.018427,-0.016841,0.016726,0.021131,9.44e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-08,1.75824,-0.002399,-4.19e-4,0.003661,0.00503,9.48e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-09,1.72787,-0.009056,-0.005895,0.009601,0.010422,9.48e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-12,-0.212312,-0.002682,0.011985,0.004692,0.008621,9.68e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-13,1.48937,-0.008574,-0.012354,0.015784,0.017717,9.52e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-14,0.209641,-0.005524,0.005975,-0.00772,-0.009498,9.36e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-15,-0.836813,0.014584,-0.001137,-0.013157,-0.015047,9.28e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-16,0.421929,0.008663,-0.001576,-0.00585,-0.006981,9.2e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-19,0.210094,0.013342,-0.005676,7.32e-4,0.001103,9.4e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-20,-0.62893,0.002254,0.003812,-0.004921,-0.006707,9.52e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-21,1.89873,-0.020701,0.010453,0.016536,0.019624,9.4e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-22,2.69151,-0.01328,-2.38e-4,0.02238,0.027268,9.24e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-23,-0.201607,-0.011652,-7.03e-4,0.002196,0.003118,9.4e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-26,-0.60606,-0.012504,0.0109,0.013174,0.014181,9.44e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-27,0,0.003635,-0.003342,-0.002788,-0.003957,9.28e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-28,0,-7.22e-4,-0.010501,-0.001229,-0.00239,9e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-29,0.406504,0.004087,0.0189,-0.01221,-0.008563,9.4e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-07-30,-0.404859,0.002618,-0.005369,-0.010162,-0.010268,9.12e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-02,1.42276,-0.009462,-0.0077,0.027148,0.032771,9.56e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-03,1.2024,-0.002193,-3.82e-4,0.001105,-5.61e-4,9.52e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-04,-2.37624,-0.007102,-0.00787,0.007752,0.011026,9.6e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-05,1.41988,0.072721,0.120732,0.002906,0.003333,9.6e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-06,-2,0.006682,-0.008886,-0.001425,-1.17e-4,9.2e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-09,0,0.002034,-0.008775,-0.001736,-0.00376,9.28e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-10,1.63265,0.006396,0.00727,-0.013674,-0.015154,8.76e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-11,1.40562,0.01411,0.01118,-0.020916,-0.024091,9.4e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-12,0.495052,0.001206,-0.002665,-0.006167,-0.005875,9.04e-5
NO0010631567,SPAREBANK 1 SOR-NORGE ASA,SB1NO-NO,Finans,2010-08-13,0,0.009362,-0.015298,0.001067,-7.96e-4,9.04e-5
